facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
38KAR17001,BADIGUND,Limestone,mining,13.883783490513999,75.85291352352579,KARNATAKA,Davanagere,40.3280332196,M/s STEEL AUTHORITY OF INDIA LIMITED (SAIL),CPSU,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03154,MH.R MINES /SM BLOCK,Iron Ore,mining,14.992043028876472,76.6755572861739,KARNATAKA,Bellary,19.2445550568,MHANUMANTHA RAO,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15017,Kodkani,Lime Shell,mining,14.493175392296898,74.40335654249677,KARNATAKA,Uttara Kannada,3.13629770049,Sudhakar R Shanbagh,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15031,Kanasgeri,Lime Shell,mining,14.855944703883985,74.14346393354576,KARNATAKA,Uttara Kannada,9.63408458883,Suresh P Pednekar,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15030,Gokarna,Lime Shell,mining,14.541689066208503,74.34951823160934,KARNATAKA,Uttara Kannada,4.9636880345,Shri Veeranjanaya Minerals,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
11KAR11005,ALADAHALLI,Chromite,mining,13.146604129054646,76.35431654506041,KARNATAKA,Hassan,132.263990462,"M/s Mysore Minerals Ltd,",SPSU,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
40KAR03014,RAMGAD/SB Halli(1952),Manganese Ore,mining,15.094448915448604,76.47957421493746,KARNATAKA,Bellary,136.574265595,"M/s The Sandur Manganese & Iron Ores Ltd,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03110,KARADIKOLLA,Iron Ore,mining,15.156559024845478,76.50883259374076,KARNATAKA,Bellary,103.297612521,"M/s CHOWGULE AND CO LTD,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03133,HARGINADONA,Iron Ore,mining,15.134962687417634,76.76446900967255,KARNATAKA,Bellary,77.5267410565,"ALLUM PRASHANT,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03011,DONIMALAI,Iron Ore,mining,15.047086974716647,76.62845021013115,KARNATAKA,Bellary,595.936732068,M/s NMDC LIMITED,CPSU,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
