name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Behraband Coal Mine,mining,Subbituminous,23.282233,82.093922,Operating,0.6,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Behraband_coal_mine
Bejdih Coal Mine,mining,Subbituminous,23.6935,86.8753,Operating,0.1,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bejdiha_coal_mine
Belgaon Coal Mine,mining,Subbituminous,20.329522,78.95774,Operating,0.27,Sunflag Iron and Steel Co Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Belgaon_Coal_Mine
Bellora-Naigaon Coal Mine,mining,Subbituminous,19.976764,79.088501,Operating,1.2,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bellora-Naigaon_Mine
Bhadra Coal Mine,mining,Subbituminous,23.189078,81.932398,Operating,0.18,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhadra_coal_mine
Bhanegaon Coal Mine,mining,Subbituminous,21.2685,79.1574,Operating,0.9,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhanegaon_Coal_Mine
Bhanora UG and OC Mine,mining,Subbituminous,23.73205251,87.0258146610999,Operating,0.6,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Bhanora_UG_and_OC_Mine
Bhanora West UG Coal Mine,mining,Subbituminous,23.729521,86.993622,Operating,0.74,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhanora_West_coal_mine
Bharatpur Coal Mine,mining,Lignite,20.95753,85.128911,Operating,20.0,Mahanadi Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bharatpur_coal_mine#Location
Bhaskarpara Coal Mine,mining,Subbituminous,23.355536,82.751378,Operating,15.0,Prakash Industries Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhaskarpara_coal_mine
