name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
JSW Steel Dolvi steel plant,iron_steel,iron_steel,18.690312,73.035902,operating,10200,JSW Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/JSW_Steel_Dolvi_steel_plant
JSW Steel Raigarh steel plant,iron_steel,iron_steel,21.983709,83.238133,operating,950,JSW Ispat Special Products Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/JSW_Steel_Raigarh_steel_plant
JSW Steel Salem steel plant,iron_steel,iron_steel,11.814912,77.918465,operating,1260,JSW Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/JSW_Steel_Salem_steel_plant
JSW Steel Vijayanagar steel plant,iron_steel,iron_steel,15.180423,76.663134,operating,11899,JSW Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/JSW_Steel_Vijayanagar_steel_plant
JSW Vijayanagar Metallics steel plant,iron_steel,iron_steel,15.203176,76.659122,operating,5000,JSW Vijayanagar Metallics Ltd,GEM_Global_Iron_and_Steel_Tracker,approximate,https://www.gem.wiki/JSW_Vijayanagar_Metallics_steel_plant
KIC Metaliks Durgapur steel plant,iron_steel,iron_steel,23.507539,87.277914,operating,,KIC Metaliks Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/KIC_Metaliks_Durgapur_steel_plant
Lloyds Metals and Energy Ltd Ghugus steel plant,iron_steel,iron_steel,19.929837,79.119344,operating,,Lloyds Metals and Energy Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Lloyds_Metals_and_Energy_Ltd_Ghugus_steel_plant
Lloyds Metals and Energy Ltd Konsari steel plant,iron_steel,iron_steel,19.770409,79.813599,operating,,Lloyds Metals and Energy Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Lloyds_Metals_and_Energy_Ltd_Konsari_steel_plant
Mesco Steel Kalinganagar plant,iron_steel,iron_steel,20.976277,86.044419,operating,1200,Mesco Kalinga Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Mesco_Steel_Kalinganagar_plant
Mono Steel Gandhidham plant,iron_steel,iron_steel,23.312265,70.201953,operating,770,Mono Steel (India) Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Mono_Steel_Gandhidham_plant
MSP Steel & Power Raigarh plant,iron_steel,iron_steel,21.87673,83.554495,operating,385,MSP Steel & Power Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/MSP_Steel_&_Power_Raigarh_plant
Mukand Sumi Special Steel Hospet steel plant,iron_steel,iron_steel,15.328976,76.258613,operating,450,Mukand Sumi Special Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Mukand_Sumi_Special_Steel_Hospet_steel_plant
N R Ispat and Power Raigarh steel plant,iron_steel,iron_steel,22.013086,83.330372,operating,297,NR Ispat and Power Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/N_R_Ispat_and_Power_Raigarh_steel_plant
Neelachal Ispat Nigam steel plant,iron_steel,iron_steel,20.998641,86.019102,operating,1100,Neelachal Ispat Nigam Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Neelachal_Ispat_Nigam_steel_plant
Nilachal Iron & Power Gamharia steel plant,iron_steel,iron_steel,22.874863,86.063646,operating,99,Nilachal Iron & Power Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Nilachal_Iron_&_Power_Gamharia_steel_plant
NMDC Nagarnar steel plant,iron_steel,iron_steel,19.0931901,82.17,operating,3000,NMDC Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/NMDC_Nagarnar_steel_plant
Orissa Alloy Steel Kharagpur Plant,iron_steel,iron_steel,22.364258,87.309047,operating,550,Orissa Metaliks Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Orissa_Alloy_Steel_Kharagpur_Plant
Orissa Metaliks Kharagpur steel plant,iron_steel,iron_steel,22.378355,87.281773,operating,900,Orissa Metaliks Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Orissa_Metaliks_Kharagpur_steel_plant
Orissa Metaliks Markuta steel plant,iron_steel,iron_steel,21.856747,83.966244,operating,600,Orissa Metaliks Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Orissa_Metaliks_Markuta_steel_plant
Orissa Sponge Iron and Steel plant,iron_steel,iron_steel,21.801994,85.56751,operating,101,Orissa Sponge Iron and Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Orissa_Sponge_Iron_and_Steel_plant
Prakash Industries Janjgir steel plant,iron_steel,iron_steel,22.004694,82.671666,operating,1190,Prakash Industries Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Prakash_Industries_Janjgir_steel_plant
Prakash Sponge Iron and Power Challakere steel plant,iron_steel,iron_steel,14.152912,76.665824,operating,,Prakash Sponge Iron and Power Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Prakash_Sponge_Iron_and_Power_Challakere_steel_plant
Ramsarup Industries Kharagpur steel plant,iron_steel,iron_steel,22.977477,88.457443,operating,,Ramsarup Industries Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Ramsarup_Industries_Kharagpur_steel_plant
